 ,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,
512m,4.49,4.67,4.03,4.06,3.59,3.27,3.00,2.85,2.64,2.34,2.24,2.10,1.94,1.84,1.73,
256m,5.60,5.32,4.73,4.11,3.68,3.19,3.11,2.89,2.62,2.44,2.28,2.10,1.96,1.84,1.72,
128m,5.66,5.23,4.88,4.09,3.75,3.38,2.90,2.81,2.58,2.43,2.28,2.13,1.98,1.87,1.74,
64m,5.65,5.26,4.74,4.18,3.77,3.45,3.18,2.85,2.62,2.40,2.32,2.12,2.00,1.86,1.74,
32m,5.85,5.43,5.16,4.00,3.69,3.44,3.19,2.86,2.51,2.43,2.30,2.15,1.96,1.88,1.69,
16m,5.31,5.07,4.84,4.24,3.75,3.52,2.85,2.92,2.60,2.52,2.44,2.22,2.07,1.99,1.85,
8m,5.78,4.95,5.04,4.16,3.82,3.50,3.24,3.09,2.70,2.77,2.62,2.51,2.47,2.07,2.02,
4m,5.81,5.49,5.30,5.04,5.15,4.64,4.82,4.68,4.47,4.38,4.03,3.07,2.18,2.55,3.30,
2m,4.88,5.74,5.69,4.69,5.34,2.08,5.00,4.85,4.64,4.38,4.35,4.21,4.03,3.95,3.94,
1024k,5.96,5.88,5.81,5.38,5.35,5.28,5.12,4.87,4.70,4.53,4.39,4.22,3.93,3.96,2.25,
512k,5.98,5.89,4.37,4.55,4.55,4.50,4.40,5.13,5.07,4.99,4.93,4.87,3.96,3.91,3.82,
256k,4.87,4.83,4.95,5.43,5.38,5.38,5.29,5.15,5.11,5.03,4.99,4.91,4.79,4.55,4.72,
128k,5.95,5.95,5.73,5.43,5.33,5.33,5.24,5.15,5.07,4.99,4.99,4.91,4.76,4.76,4.69,
64k,5.95,5.95,5.95,5.73,4.18,5.73,5.73,5.73,5.73,5.73,5.33,5.95,5.73,5.95,5.73,
32k,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.52,5.95,5.95,5.95,5.95,5.52,5.52,
16k,5.52,5.52,5.52,5.52,5.52,6.44,5.52,6.44,5.52,6.44,5.52,5.52,5.52,5.52,5.52,
